label,area
671,1.0
672,2.0
673,2.0
674,1.0
675,1.0
676,1.0
677,1.0
678,1.0
679,1.0
680,1.0
681,5.0
682,3418.0
683,1.0
684,1.0
685,1.0
686,1.0
687,2.0
688,3.0
689,1.0
690,1.0
691,1.0
692,1.0
693,2.0
694,2.0
695,1.0
696,1.0
697,2186.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,1.0
704,1.0
705,1.0
706,519.0
707,1.0
708,3.0
709,3.0
710,1.0
711,1.0
712,1.0
713,1.0
714,2.0
715,1.0
716,1.0
717,1.0
718,2.0
719,1.0
720,1.0
721,1.0
722,1.0
723,1.0
724,1.0
725,1.0
726,1.0
727,1.0
728,3.0
729,3.0
730,3.0
731,1.0
732,1.0
733,1.0
734,1.0
735,4.0
736,4.0
737,2.0
738,2.0
739,1.0
740,1.0
741,2.0
742,2.0
743,1.0
744,1.0
745,1.0
746,1.0
747,1.0
748,1.0
749,1.0
750,1.0
751,1.0
752,1.0
753,1.0
754,1.0
755,3.0
756,2.0
757,3.0
758,1.0
759,1.0
760,8.0
761,2.0
762,2.0
763,2.0
764,1.0
765,2.0
766,2.0
767,1.0
768,1.0
769,1.0
770,1.0
771,9946.0
772,1.0
773,3.0
774,2.0
775,3.0
776,1.0
777,1.0
778,2.0
779,2.0
780,2.0
781,1.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,1.0
788,4.0
789,7283.0
790,2.0
791,2.0
792,3.0
793,1.0
794,1.0
795,1.0
796,2.0
797,2.0
798,2.0
799,1.0
800,1.0
801,3.0
802,1.0
803,1.0
804,1.0
805,1.0
806,1.0
807,1.0
808,4.0
809,21.0
810,1.0
811,2.0
812,3.0
813,3.0
814,1.0
815,1.0
816,1.0
817,1.0
818,1.0
819,2.0
820,1.0
821,2.0
822,1.0
823,1.0
824,7.0
825,2.0
826,1.0
827,1.0
828,1.0
829,1.0
830,1.0
831,1.0
832,3.0
833,685.0
834,1004.0
835,1437.0
836,2.0
837,1290.0
838,3.0
839,3.0
840,1.0
841,1.0
842,1.0
843,1.0
844,1.0
845,1.0
846,2.0
847,2.0
848,2.0
849,1.0
850,8.0
851,1.0
852,1.0
853,1.0
854,2.0
855,1.0
856,2.0
857,1.0
858,401.0
859,1431.0
860,1.0
861,2.0
862,1.0
863,1.0
864,2.0
865,6.0
866,1.0
867,1.0
868,1.0
869,1.0
870,1.0
871,1.0
872,2.0
873,2.0
874,1.0
875,6.0
876,3.0
877,1.0
878,1.0
879,1.0
880,1.0
881,1.0
882,1.0
883,1.0
884,3.0
885,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,2.0
891,3.0
892,1.0
893,2.0
894,2.0
895,1.0
896,6.0
897,1.0
898,3.0
899,1.0
900,1.0
901,6.0
902,2.0
903,5326.0
904,1.0
905,2.0
906,2.0
907,16.0
908,1.0
909,747.0
910,1.0
911,1.0
912,2.0
913,3.0
914,2.0
915,1.0
916,1.0
917,1.0
918,1.0
919,20.0
920,2.0
921,1.0
922,1.0
923,1.0
924,2.0
925,2.0
926,1.0
927,8.0
928,2.0
929,1.0
